--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- NVIM STARTING ---
000.139  000.138: event init
000.301  000.162: early init
006.778  006.478: locale set
006.810  000.031: init first window
010.570  003.760: inits 1
010.595  000.025: window checked
010.599  000.005: parsing arguments
010.927  000.024  000.024: require('vim.shared')
010.975  000.019  000.019: require('vim.inspect')
010.999  000.018  000.018: require('vim._options')
011.000  000.071  000.034: require('vim._editor')
011.001  000.130  000.035: require('vim._init_packages')
011.003  000.273: init lua interpreter
013.493  002.490: expanding arguments
013.508  000.015: inits 2
013.680  000.172: init highlight
013.695  000.015: clear screen
013.768  000.008  000.008: require('vim.keymap')
015.102  001.404  001.396: require('vim._defaults')
015.104  000.004: init default mappings & autocommands
020.814  000.053  000.053: sourcing /opt/homebrew/Cellar/neovim/HEAD-3fdc430/share/nvim/runtime/ftplugin.vim
023.318  000.040  000.040: sourcing /opt/homebrew/Cellar/neovim/HEAD-3fdc430/share/nvim/runtime/indent.vim
033.923  004.549  004.549: require('options')
042.169  003.635  003.635: require('core.utils')
042.210  008.283  004.648: require('mappings')
050.535  003.333  003.333: require('core.autocmds')
050.538  007.012  003.679: require('core')
061.129  006.360  006.360: require('lazy')
061.171  000.014  000.014: require('ffi')
061.212  000.025  000.025: require('vim.fs')
066.937  005.720  005.720: require('vim.uri')
066.954  005.780  000.036: require('vim.loader')
071.254  004.267  004.267: require('lazy.stats')
075.073  003.771  003.771: require('lazy.core.util')
078.050  002.974  002.974: require('lazy.core.config')
083.858  002.942  002.942: require('lazy.core.handler')
094.881  003.525  003.525: require('lazy.pkg')
094.886  007.735  004.211: require('lazy.core.meta')
094.890  011.029  003.293: require('lazy.core.plugin')
094.895  016.843  002.872: require('lazy.core.loader')
109.734  002.916  002.916: require('lazy.async')
115.926  002.882  002.882: require('lazy.manage.process')
118.965  003.036  003.036: require('lazy.terminal')
118.976  009.237  003.319: require('lazy.manage.task')
118.979  015.831  003.677: require('lazy.manage.runner')
118.981  019.784  003.953: require('lazy.manage')
118.984  023.269  003.485: require('lazy.view.commands')
